Name,Model,Description,URL
Malletech Leigh Howard Stevens LS15L Medium Soft-Hard Birch Marimba Mallets,MODEL: LS15L,"Medium soft to hard, red label, and multi-toned. A full range medium soft to hard mallet that speaks clearly in all registers, yet still rolls smoothly. The most popular “general use” mallet in the Stevens Series. The LS15L model is the original, lighter LS15.",https://www.steveweissmusic.com/products/malletech-ls15l-medium-soft-hard-marimba-mallets
Balter Basics Series Birch BB3 Soft Marimba Mallets Red Yarn,MODEL: BBB3,"This Soft Marimba Mallet is from the Balter Basics Series. The softness of the mallet head is for lighter, softer passages or developing technique. The Balter basics Series is a great place to start a student off into the world of keyboard percussion.

Soft mallet head covered in red yarn
red colored birch mallet handle",https://www.steveweissmusic.com/products/balter-basics-series-birch-bb3-soft-marimba-mallets-red-yarn
Schlagkraft Zivkovic Marimba Mallets - Blue Strong General (Cedar),N/A,"The Schlagkraft Zivkovic Blue Strong General is a perfect model for overall performance, it covers entire range of the marimba. It performs very well in low register as well as the highest octaves. An ideal mallet for pieces that cover the entire range of the instrument.

The Zivkovich Series Mallets feature rubber cores wrapped in layers of a synthetic yarn. Schlagkraft hand selects and matches the cedar shafts to create a balanced even pair.

Cedar Handles
Medium",https://www.steveweissmusic.com/products/schlagkraft-zivkovic-marimba-mallet-blue-strong
Innovative Percussion Sandi Rennick Series Medium Hard Marimba Mallets - Sage Green Cord,MODEL: IP4002.5C,"The IP4000C series features cord-wound marimba mallets designed to the specifications of Sandi Rennick, the Front Ensemble Arranger of the 9-time DCI World Champion Santa Clara Vanguard. Known for putting more weight in the players hands, these models produce a focused sound which speaks quickly, and was created with today's modern amplified keyboard section in mind. The addition of a cord-wrapped option adds enhanced articulation and a new voice for the front ensemble.

Starting with durable birch handles in a matte finish, these implements are wrapped with cord allowing them to be articulate and cutting while withstanding the needs of rigorous rehearsal and performance schedules. The versatility found in the Sandi Rennick series makes balancing and blending your ensemble easier than ever before.

Sandi Rennick Series
IP4001: Soft Marimba
IP4001C: Soft Marimba - Cord
IP4002: Medium Marimba
IP4002C: Medium Marimba - Cord
IP4002.5: Medium Hard Marimba
IP4002.5C: Medium Hard Marimba - Cord
IP4003: Hard Marimba
IP4003C: Hard Marimba - Cord
IP4004: Wrapped Xylophone
IP4005: Soft Vibraphone
IP4006: Medium Vibraphone
IP4007: Hard Vibraphone",https://www.steveweissmusic.com/products/innovative-sandi-rennick-medium-hard-marimba-mallets-cord
Innovative Rattan Series RS20 Medium Rattan Marimba/Vibraphone Mallet,MODEL: RS20,"The Innovative Percussion RS20 medium marimba/vibraphone mallets are constructed on durable rattan handles with large
oval cores and are tightly wrapped with synthetic yarn.",https://www.steveweissmusic.com/products/innovative-rs20
Dragonfly Percussion Marimba Mallets Medium Hard with Rattan Handles,MODEL: M4R,The Most Versatile of Dragonfly's Marimba Mallet Series is the Medium Hard Mallet. This Mallet feels and sounds great across the entire five octaves of a marimba. Being lighter than its softer counterparts it provides great maneuverability. Functions great in more than one roll in a graduated set.,https://www.steveweissmusic.com/products/dragonfly-percussion-medium-hard-marimba-mallets-rattan
Yamaha Keiko Abe Signature Birch Keyboard Mallets Hard (MKAW-04),MODEL: MKAW-04,"The MKAW04 from the Yamaha Keiko Abe Mallet Series is also a hard mallet but lighter in feel than the MKA03. The MKAW04 features a rubber core wrapped with a 1mm rubber tube. The Birch Shaft on the MKA04 is 430mm and the mallet is finished with a high quality yarn.

This mallet will excel as a soprano mallet in a graduated set. Perfect for the upper octaves of the marimba.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-signature-birch-keyboard-mallets-hard-mkaw04
Marimba One Conrado Moya Birch Marimba Mallets - Medium,N/A,"The Marimba One Conrado Moya Medium Birch Mallets deliver a clear fundamental across the entire range of the instrument. Each mallet features a heavy weighted core with tight tensioned yarn. The Moya mallets they achieve clear articulation with a very warm texture, even with the hardest mallets. Designed specifically played with big orchestras, choirs, and percussion ensembles they are also delicate enough to be used in the most intimate chamber music and solo works.",https://www.steveweissmusic.com/products/marimba-one-conrado-moya-medium
Salyers Performance Collection Rattan Mallets - Medium Rubber,N/A,"The Salyers Percussion PCX42 medium rubber mallet works well on marimba or xylophone as well as woodblocks. The rattan shafts are matched in diameter and flex.

The Performance Collection unwound mallets are designed to offer a comprehensive selection of sonic possibilities to the advanced percussionist. Head sizes available are 1″, 1.125″ and 1.25″. The rattan size sets this series apart from any other series available. The trend of using very thick rattan on unwound mallets results in a stiff shaft that does not allow the natural flex of rattan to help get the best sound from the keys. We use a rattan size that feels good yet flexes just enough to help you get the best sound possible from your instruments.",https://www.steveweissmusic.com/products/salyers-pcx42-performance-rattan-mallets-medium-rubber
Malletech Michael Burritt Ensemble Series Marimba Mallets - Medium Soft MBE7,N/A,"Malletech Michael Burritt Ensemble Series Medium Soft Marimba Mallets offer a warm, versatile and articulate sound. Perfect for low to mid range of the instrument.

Being one of the softer mallets of the series, these offer rich, dark, and round lows while still being remarkably focused and clear. The weighting of the mallets have a nice ‘throw’ that allows you to play though the bar with ease, resulting in a bigger sound with less effort.

The Michael Burritt Ensemble Series is an incredibly versatile series designed to excel in musical settings ranging from solo, to chamber, and ensembles of all sizes. The mallets deliver a warm, woody tone that is robust and round while still providing the strong articulation required to cut through the ensemble.

Synthetic yarn
Medium Soft Hardness
Birch Shafts
Acorn Shaped Mallet Head",https://www.steveweissmusic.com/products/malletech-michael-burritt-ensemble-marimba-mallet-medium-soft
Marimba One Colin Currie CCB3 Medium Soft Birch Mallets,N/A,"The Colin Currie Signature Mallet Series was created as a simple and uncomplicated series of mallets. The series contains four mallets featuring one unwrapped mallet and three wrapped mallets. They allow spontaneity, which can be used with as much force or delicacy without the unsatisfactory change in timbre this approach can create. These mallets represent a focused, polished approach to sound.",https://www.steveweissmusic.com/products/marimba-one-colin-currie-ccb3
Encore Adam Series Marimba Mallets - Graduated Set Rattan,N/A,"The Encore Adam Tan Series Marimba Mallets offer a medium weight feel designed for concert solo performances, bringing out the warmth and fundamentals of your marimba sound. The AT Series is comfortable in the hands and plays easily, ideal for all levels and styles of marimba performance.

The mallets feature a latex-wrapped, thick, rubber disk core covered in all natural North American Alpaca wool. The series is also slightly two-toned and extremely versatile in all applications.

The Adam Tan Series Graduated Set is a great starting point for a warm yet clear graduated set with slight weight, that can be used for all kinds of solo repertoire and on all sizes and materials of marimba.

Featuring (from left to right) the AT4 (Medium Soft), two AT3s (Medium) and an AT2 (Medium Hard). You have versatile bass, mid, and high range mallet coverage in addition to being able to use the two AT3s for two mallet solo and ensemble playing when needed.",https://www.steveweissmusic.com/products/encore-adam-tan-graduated-rattan
Vic Firth Rosauro Keyboard Mallets - Medium Soft Marimba,MODEL: M222,"Vic Firth M222 Ney Rosauro Medium Soft Marimba Mallets produce a warm and round sound while maintaining clear articulation. With rattan shafts.

Ney Rosauro designed this special series of marimba mallets to reflect the sound he desires for his award winning compositions. Rattan shafts and rubber cores coupled with special yarn and cord choices assure the player of a pure and natural sound that projects the full capabilities of the instrument.

Length: 16 3/4""",https://www.steveweissmusic.com/products/vic-firth-m222-ney-rosauro-marimba-mallets
Malletech Grand Soloist Graduated Marimba Mallet Set - Soft,MODEL: GSGSS,"The Malletech Grand Soloist Soft Graduated Marimba Mallet Set set consists of one GS3, 2 GS7’s and one GS13.

Sold as a set of 4.",https://www.steveweissmusic.com/products/malletech-grand-soloist-marimba-mallet-set-soft
"Salyers Performance Collection Rattan Mallets - 1.25"" Hytrel",N/A,"The Salyers Percussion PCX21 features a large 1.25″ soft plastic ball. The rubber-like material works extremely well on marimba, vibraphone and xylophone. The rattan shafts are matched in diameter and flex. This is a very versatile mallet.

The Performance Collection unwound mallets are designed to offer a comprehensive selection of sonic possibilities to the advanced percussionist. Head sizes available are 1″, 1.125″ and 1.25″. The rattan size sets this series apart from any other series available. The trend of using very thick rattan on unwound mallets results in a stiff shaft that does not allow the natural flex of rattan to help get the best sound from the keys. We use a rattan size that feels good yet flexes just enough to help you get the best sound possible from your instruments.",https://www.steveweissmusic.com/products/salyers-pcx21-performance-rattan-mallets-hytrel
Malletech Michael Burritt Ensemble Series Marimba Mallets - Hard MBE17,MODEL: MBE17,"Malletech Michael Burritt Ensemble Series Hard Marimba Mallets offer a cutting sound with bite yet not harsh. Perfect for mid to high range of the instrument.

Being one of the harder mallets of the series, these offer clarity and transparency with a bit of bite. The birch handles and weighting of the mallets have a nice ‘throw’ that allows you to play though the bar with ease, resulting in a bigger sound with less effort.

The Michael Burritt Ensemble Series is an incredibly versatile series designed to excel in musical settings ranging from solo, to chamber, and ensembles of all sizes. The mallets deliver a warm, woody tone that is robust and round while still providing the strong articulation required to cut through the ensemble.

Synthetic Yarn
Hard Hardness
Birch Shafts
Acorn Shaped Mallet Head",https://www.steveweissmusic.com/products/malletech-michael-burritt-ensemble-marimba-mallet-hard
Marimba One Wave Wrap WWXR4 Medium Soft Rattan Mallets,N/A,"The WWXR4 is a medium soft mallet with Gray/Cinnamon colored yarn and rattan handles. The highest concentration of yarn is wrapped around the mallet's equator, creating an increased striking surface and a mallet that is more responsive than traditionally wrapped mallets. The Wave Wrap's blend of wool and nylon yarn minimizes contact sound and enhances articulation. Using Wave Wrap technology, the mallet is balanced to facilitate the ease of movement in the player's hand. The double equatorial wrap creates a chevron pattern around the playing surface and a distinctive wave on top of the head - two unique visual signatures for these finest of marimba mallets.",https://www.steveweissmusic.com/products/marimba-one-wave-wrap-medium-soft-rattan
Malletech Escape Ten EX14 Marimba Mallets,MODEL: EX14,"The Malletech Escape Ten EX14 Marimba Mallets are a medium-heavy hard yarn mallet that delivers a focused, warm sound. The delivered articulation is best suited in the mid and upper range of the instrument while being clearly heard in a musical texture with adjacent mallets.",https://www.steveweissmusic.com/products/malletech-escape-ten-ex14-marimba-mallets
Malletech Blake Tyson BT9 Marimba Mallets - Soft to Medium Hard,N/A,"The new line of Blake Tyson mallets offer great expressive potential. They respond to subtle changes of touch, and their depth of sound and sensitive response help to create an amazing variety of timbres and articulation. The Blake Tyson mallets are made with durable wood blend yarn on birch handles.

The BT9 provides full bass tones while maintaining a clear sound in the top register of the marimba. They are great for quick transitions between rolled and struck-note passages. Soft to medium hard.",https://www.steveweissmusic.com/products/malletech-blake-tyson-marimba-mallets-soft-medium-hard
Marimba One Beverley Johnston Soft Marimba Mallets - Birch,N/A,"The Marimba One Beverley Johnson Soft Marimba Mallets function perfectly on the lower registrars of the instrument delivering resonant definitive sound. This mallets utilizes the Wave Wrap Technology creating a balanced feel as well as allowing it to function on the Vibraphone as well. Like most Marimba One Mallets this series adheres to strict manufacturing standards functions across a wide musical range from the contemporary to the classical.

Hard Mallet Head
Birch Handles",https://www.steveweissmusic.com/products/marimba-one-beverley-johnston-soft-marimba-mallets-birch
Innovative Mark Ford Rhapsody Series - IP823 Hard Marimba Mallets,MODEL: IP823,"Innovative Mark Ford Rhapsody Series Concerto Hard Marimba Mallets are designed to deliver a brighter more articulate sound than other Mark Ford Mallets. The Hard Mallet is perfect for upper octaves of the instrument delivering fast articulate tonalities. It functions well as the soprano roll in graduated set.

Hard mallet core
Birch handles",https://www.steveweissmusic.com/products/innovative-mark-ford-rhapsody-ip823
Innovative Ludwig Albert IP3107 Hard Rattan Marimba Mallets,MODEL: IP3107,"This line of professional keyboard mallets has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models feature shafts constructed of superior quality rattan and specially weighted rubber cores of varying sizes and degrees of hardness. Wool-blend yarn is used to fully maximize the dynamic potential of the line, while the unique shape allows for precise tonal clarity. The length provides an ultimate balance, which will meet the needs of today's professional player.

IP3101 Extra Soft Marimba
IP3102 Medium Extra Soft Marimba
IP3103 Soft Marimba
IP3104 Medium Soft Marimba
IP3105 Medium Marimba
IP3106 Medium Hard Marimba
IP3107 Hard Marimba
IP3108 Extra Hard Marimba


Features:


Rubber cores of varying size, shape, and hardness


Superior quality rattan


Wool-blend yarn wrap",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3107
Innovative Ludwig Albert IP3103 Soft Rattan Marimba Mallets,MODEL: IP3103,"This line of professional keyboard mallets has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models feature shafts constructed of superior quality rattan and specially weighted rubber cores of varying sizes and degrees of hardness. Wool-blend yarn is used to fully maximize the dynamic potential of the line, while the unique shape allows for precise tonal clarity. The length provides an ultimate balance, which will meet the needs of today's professional player.

IP3101 Extra Soft Marimba
IP3102 Medium Extra Soft Marimba
IP3103 Soft Marimba
IP3104 Medium Soft Marimba
IP3105 Medium Marimba
IP3106 Medium Hard Marimba
IP3107 Hard Marimba
IP3108 Extra Hard Marimba

Features:

Rubber cores of varying size, shape, and hardness

Superior quality rattan

Wool-blend yarn wrap",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3103
Innovative Pius Cheung PIUS1 Soft Bass Marimba Mallets,MODEL: PIUS1,"The Innovative Percussion Pius Cheung Series Marimba Mallets features six models with rubber cores of varying hardness. Constructed on rattan handles, each model is wrapped with a very unique alpaca-blend yarn that allows the player to produce a tone of gold at extreme dynamic ranges from the utmost silky pianissimo to peasante fortissimo with minimal effort.

The PIUS1 is a soft, powerful bass mallet for solo playing.",https://www.steveweissmusic.com/products/innovative-pius-cheung-pius1-soft-bass-marimba-mallets
Innovative Eriko Daimo Series Bass Marimba Mallets - Yarn Wrapped,MODEL: ERIKO2,"This Innovative Eriko Daimo Series Marimba Mallet features a tightly wrapped rubber core with a custom blended yarn wrap. This model is intended for The lower octaves of the instrument with a slight articulate attack on the bars.

Handles - rattan
Length 17""
Light blue tape indicator on handle",https://www.steveweissmusic.com/products/innovative-erik-daimo-bass-yarn
Yamaha Keiko Abe Signature Birch Keyboard Mallets Two-Tone Head,MODEL: MKAW-01,"This Is The MKAW01 Mallet From Yamaha's Keiko Abe Series. This model feature s a dual core wrapped in synthetic leather. The Mallet is finished wrapped with high quality yarn. A 430mm Birch shaft makes for a very well balanced, flexible Two Tone Mallet.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-signature-birch-keyboard-mallets-two-tone-head
Marimba One Katarzyna Mycka KMB6 Soft Birch Mallets,N/A,"The Katarzyna Mycka Professional Mallet Series are wrapped very tightly with all synthetic yarn. The combination of synthetic yarn and the tight wrap gives the immediate response of the bar that is required for ensemble and orchestra playing. The heavy weight of these mallets brings out the warmth of the bars by physically putting into motion the fundamental frequency of the bars.

Katarzyna recommends using this soft mallet for such pieces as David Maslanka's My Lady White (1st Mvmt) and Ney Rosauro's Concerto No. 1 (2nd Mvmt, left hand).",https://www.steveweissmusic.com/products/marimba-one-katarzyna-mycka-kmb6
Dragonfly Percussion Marimba Mallets Medium Soft with Birch Handles,MODEL: M2B,"Dragonfly Percussion Medium soft marimba mallets give the player a soft touch with that little added attack and definition when needed. Suited for the lower octaves of a five octave marimba, this Mallet would be perfect as the tenor or bass mallet in a graduated set. The rubber core and cloth covering results in a lot of fundamental and clear attack. Birch handles provide stability players look for.",https://www.steveweissmusic.com/products/dragonfly-percussion-med-soft-marimba-mallets-birch
Encore Adam Tan Series Marimba Mallets with Birch Handles - Medium Hard,N/A,"The Encore Adam Tan Series Marimba Mallets offer a medium weight feel designed for concert solo performances, bringing out the warmth and fundamentals of your marimba sound. The AT Series is comfortable in the hands and plays easily, ideal for all levels and styles of marimba performance.

The mallets feature a latex-wrapped, thick, rubber disk core covered in all natural North American Alpaca wool. The series is also slightly two-toned and extremely versatile in all applications.

AT2 (Medium Hard, Violet) – For slightly warm, more articulate pronounced sound in a marimba’s middle to high registers. Works well as a top voice in a graduated set. Great for solo works where you need more clarity and projection.",https://www.steveweissmusic.com/products/adam-tan-marimba-mallets-birch-medium-hard
Yamaha Keiko Abe Signature Birch Keyboard Mallets Very Soft,MODEL: MKAW-08,"Yamaha's Keiko Abe Mallet line gives us the Very Soft Mallet from the collection. This mallet has a rubber core with a 2mm rubber wrapped around the core. Extra soft high quality yarn covers this core. The 430mm straight Birch shaft is selected to provide excellent balance for ease of performance.

The MKAW08 will be a great bass or tenor mallet in a graduated set. Or it will serve on the real delicate parts where a light touch is required.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-signature-birch-keyboard-mallets-very-soft
Vic Firth American Custom Keyboard - Medium Head - Round,MODEL: M2,"Vic Firth M2 American Custom Keyboard Mallets feature a medium hard round head for all-around playing. Vic Firth M2 mallets are 16"" long.

The Vic Firth M2 American Custom Keyboard Mallets are designed to address a range of instruments and all dynamic levels. This yarn model features a 3-ply nylon yarn that is virtually indestructible yet provides excellent cushioning for a softer sound.

With birch shafts for rigidity and consistency, they are favored by players who prefer extra reach without the added flexibility of rattan.",https://www.steveweissmusic.com/products/vic-firth-m2-keyboard-mallets
Innovative Rattan Series RS50C Very Hard Marimba/Vibraphone Mallets,MODEL: RS50C,"This Innovative Rattan Series Hard Marimba/Vibraphone Mallet is designed for the percussion ensemble or contemporary mallet player. A tightly cord wrapped graduated rubber core allows this mallet to function on mallet instruments as well as other accessory percussion.
- Matched Rattan Handles",https://www.steveweissmusic.com/products/innovative-rattan-series-rs50c
Encore 33YR Yarn Wound Series Medium Soft Rattan Mallets,N/A,"Introduced in 1982, the Yarn Series mallets were the first latex-wrapped core mallets in history, and have since remained staple implements of percussionists the world over. These are the mallets that set Encore Mallets, Inc. apart from the rest of the industry. Their full, rich, and round sound of maximum fundamental and minimum attack is achieved through the skillful combination of hand-wrapped latex and durable 100% sport wool yarn. For that classic Encore sound, the YR Series is place to start and stay. Medium soft, with rattan shafts.",https://www.steveweissmusic.com/products/encore-33yr-mallets
Innovative William Moersch IP501 Soft Marimba Mallets,MODEL: IP501,"This four model series of mallets has been designed exclusively for marimba virtuoso William Moersch. The hard acrylic-style core offers a full sound at soft dynamic levels and a bright sound at louder dynamic levels.

Features:
-Hard acrylic-style cores to create a full, bright tone and rich fundamental
-100% imported wool yarn
-Polished, hand-selected birch handles",https://www.steveweissmusic.com/products/innovative-william-moersch-ip501
Encore NZ4R Nancy Zeltsman Medium Rattan Marimba Mallets,N/A,"The Encore NZ4R Nancy Zeltsman ""Medium"" mallets are the ideal ""tenor"" mallet in a graduated set, because of their warm sound. For rolls and chorale playing in the medium-low register, they have a wonderful legato quality. I seldom use these above middle-C. Rattan Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it's true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.

- Nancy Zeltsman

Hardness - Medium
Handles - Rattan",https://www.steveweissmusic.com/products/encore-nancy-zeltsman-nz4r-mallets
Salyers Marching Arts Birch Marimba Mallets - Medium Hard,N/A,"The Salyers Percussion MAM30 medium hard yarn mallet works across the entire marimba range. This is a great general mallet choice.

The Salyers Percussion Marching Arts Collection is designed to deliver optimum tone and performance for the Marching Arts activities. The marimba and vibraphone models are wrapped with extra durable yarn and cord to withstand the extra demands of front ensemble playing. All models are designed with extra weight to help achieve the maximum tone projection from the instruments. The unwound models feature 1.25″ brass weighted heads for maximum projection of tone.",https://www.steveweissmusic.com/products/salyers-marching-arts-birch-marimba-mallets-medium-hard
Marimba One Colin Currie CCB2 Medium Hard Birch Mallets,N/A,"The Colin Currie Signature Mallet Series was created as a simple and uncomplicated series of mallets. The series contains four mallets featuring one unwrapped mallet and three wrapped mallets. They allow spontaneity, which can be used with as much force or delicacy without the unsatisfactory change in timbre this approach can create. These mallets represent a focused, polished approach to sound.",https://www.steveweissmusic.com/products/marimba-one-colin-currie-ccb2
Innovative Weichen Lin Marimba Mallets Rattan - Medium,MODEL: WL4,"The Innovative Weichen Lin Medium Marimba Mallets function perfectly across the entire instrument allowing you to achieve clear fundamentals at any dynamic. The blended yarn creates an incredibly versatile mallet, capable of lush Bach chorales as well as more contemporary articulate passages. Built on rattan shafts, the rubber cores provide a strong fundamental tone with very little contact sound.

-16 3/4"" Total Length",https://www.steveweissmusic.com/products/innovative-wei-chen-lin-marimba-medium
Encore NZ7B Nancy Zeltsman Best Bass Birch Marimba Mallets,N/A,"The Encore NZ7B Nancy Zeltsman ""Best Bass"" mallets are super-rich bass mallets that produce tones with luscious fundamental in the lowest range. Birch Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it's true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.

- Nancy Zeltsman

Hardness - Extra Soft
Handles - Birch",https://www.steveweissmusic.com/products/encore-nancy-zeltsman-nz7b-mallets
Vic Firth Theodor Milkov Medium Marimba Mallets,MODEL: M283,"The Vic Firth Theodor Milkov Medium Marimba Mallets is the mallet that delivers a full very defined sound in the lower octave of the marimba. Punchy fundamentals with an even attack.

Length: 17''
Head material/color: Mohair Yarn/Black
Handle Material: Hickory",https://www.steveweissmusic.com/products/vic-firth-theodor-milkov-marimba-medium
Vic Firth Virtuoso Series Keyboard Mallets - Soft,MODEL: M210,"Vic Firth M210 Virtuoso Series Soft Marimba Mallets create a beautiful singing sound in the low register.

Designed for the solo marimba performer, the Vic Firth Virtuoso Series features a rubber core wrapped with a wool blend yarn for an enhanced warm and full-bodied sound. The handles are made of birch with a unique ""slip-resistant"" finish for excellent feel and enhanced control. A fine choice in ensemble settings as well.

Length: 17""",https://www.steveweissmusic.com/products/vic-firth-m210-marimba-mallets
Malletech Grand Soloist GS16 Marimba Mallet,MODEL: GS16,This Malletech Grand Soloist Series GS16 Marimba Mallet will have a slightly brighter version than the classic GS13.,https://www.steveweissmusic.com/products/malletech-grand-soloist-series-gs16-marimba-mallet
Innovative Weichen Lin Marimba Mallets Birch - Hard,MODEL: WL6B,"The Innovative Weichen Lin Medium Hard Marimba Mallets deliver clear fundamentals with a fast attack, especially in the upper registers of the instrument. The blended yarn creates an incredibly versatile mallet, capable of lush Bach chorales as well as more contemporary articulate passages. Built on birch shafts, the rubber cores provide a strong fundamental tone with very little contact sound.

-16 3/4"" Total Length",https://www.steveweissmusic.com/products/innovative-wei-chen-lin-marimba-hard-birch
Marimba One Double Helix Marimba Mallet Bestseller Pack,N/A,"The Marimba One Double Helix Marimba Mallets are some of the most sought after mallets for players of all styles. This bundle provides players with 1 pair each of Marimbas One's most popular models at a great price.

The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.

Included Mallets (One Pair Each):
Marimba One Double Helix DHB3 Medium Hard Birch Mallets
Marimba One Double Helix DHB4 Medium Birch Mallets",https://www.steveweissmusic.com/products/marimba-one-bestseller-pack
Salyers Earth Tone Birch Marimba Mallets - Medium Hard,N/A,"The Earth Tone Series ET40 medium hard yarn mallet works well as a legato mallet for the upper range of the marimba. This mallet is just hard enough to speak clearly on the upper range with a warm fundamental tone. The natural birch shafts offer superior control to the performer.

The Salyers Percussion Earth Tone Series drew its inspiration from the warm sounds of natural wood and metallic instruments. The yarn wrapped models feature natural birch mallets, 100% soft wool yarn and round rubber cores that create warm and rich organic tones. The rattan models have oval rubber cores and are wrapped in a super durable hemp cord. The Hemp allows these mallets to have a big fundamental tone and the unmistakable sound of a hemp cord wrap.",https://www.steveweissmusic.com/products/salyers-earth-tone-birch-marimba-mallets-medium-hard
Malletech Grand Soloist GS3 Marimba Mallet,N/A,"The Malletech Grand Soloist GS3 Marimba Mallet represents decades of refinement in marimba mallet design, tracing its roots back to a series that has delivered expansive, full-bodied tone since 1990. Built for players who demand warmth, depth, and consistency, the GS3 reflects Malletech’s meticulous attention to materials and hand-crafted construction.

At the heart of the GS3 is an all-rubber core system, featuring a solid rubber center wrapped in an additional layer of latex. This “all rubber, all the way through” approach creates a rich fundamental tone with exceptional resonance, allowing the marimba to speak freely without harsh overtones. The result is a broad, fat sound that fills the room while maintaining excellent pitch clarity across the instrument’s range.

Each mallet is wound medium-tight using Malletech’s extremely durable proprietary synthetic yarn. This yarn is engineered to balance longevity with tonal sensitivity, producing clean, defined articulation even at very soft dynamic levels. Pianissimo passages remain clear and controlled, making the GS3 equally suitable for expressive solo repertoire and nuanced ensemble playing.

The yarn is applied at a steep winding angle, forming a nearly round mallet head. This precise shape promotes an even contact area on the bars, contributing to consistent tone and response from note to note. Now offered in four carefully calibrated hardness levels, the Grand Soloist GS3 is also available in graduated sets, allowing performers to move seamlessly across registers with a naturally balanced sound.

All-rubber core with added latex layer for a big, warm marimba tone
Medium-tight winding with proprietary synthetic yarn for durability and clarity
Steep-angle winding creates a nearly round head for consistent response
Available in four hardnesses and graduated sets for complete tonal control",https://www.steveweissmusic.com/products/malletech-grand-soloist-series-gs3-marimba-mallets
Marimba One Katarzyna Mycka KMR3 Medium Hard Rattan Mallets,N/A,"The Katarzyna Mycka Professional Mallet Series are wrapped very tightly with all synthetic yarn. The combination of synthetic yarn and the tight wrap gives the immediate response of the bar that is required for ensemble and orchestra playing. The heavy weight of these mallets brings out the warmth of the bars by physically putting into motion the fundamental frequency of the bars.

Katarzyna recommends using this medium hard mallet for such pieces as Keiko Abe's Dream of the Cherry Blossoms (+ one KMB4); Matthias Schmitt's Sechs Miniaturen (6th); Gordon Stout's Two Mexican Dances; Ney Rosauro's Concerto No. 2 (1st Mvmt).",https://www.steveweissmusic.com/products/marimba-one-katarzyna-mycka-kmr3
Marimba One Double Helix DHR1 Very Hard Rattan Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhr1
Marimba One Conrado Moya Birch Marimba Mallets - Medium Soft,N/A,"The Marimba One Conrado Moya Medium Soft Birch Mallets deliver a clear fundamental with a minimal attack across the entire range of the instrument. Each mallet features a heavy weighted core with tight tensioned yarn. The Moya mallets they achieve clear articulation with a very warm texture, even with the hardest mallets. Designed specifically played with big orchestras, choirs, and percussion ensembles they are also delicate enough to be used in the most intimate chamber music and solo works.",https://www.steveweissmusic.com/products/marimba-one-conrado-moya-medium-soft
Marimba One Beverley Johnston Hard Marimba Mallets - Birch,N/A,"The Marimba One Beverley Johnson Hard Marimba Mallets function perfectly on the upper registrars of the instrument delivering articulate fast fundamentals. This mallets utilizes the Wave Wrap Technology creating a balanced feel as well as allowing it to function on the Vibraphone as well. Like most Marimba One Mallets this series adheres to strict manufacturing standards functions across a wide musical range from the contemporary to the classical.

Hard Mallet Head
Birch Handles",https://www.steveweissmusic.com/products/marimba-one-beverley-johnston-hard-marimba-mallets-birch
Marimba One Ivana Bilic IBB3 Medium Birch Mallets,N/A,"The Marimba One Ivana Bilic model IBB3 Boy Alto mallets are a “shy” mallet that doesn't look for a flashy entrance. It is slightly lighter and softer then IBR5, introspective with a pure and “innocent” sound, and ideal for chamber music and J.S. Bach.

Ivana Bilic wanted her new mallet line to emphasize the singing characteristic of the marimba, by relating the sound that each mallet makes to human vocal qualities. Her definitions for each mallet combine the ideal playing range for a mallet with the color/timbre of its sound.

These mallets are on Birch Handles.",https://www.steveweissmusic.com/products/marimba-one-ivana-bilic-ibb3
